,word,phonetic,translation
71,peak,pi:k,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
72,measured,'meʒәd,"a. 整齐的, 慎重的, 基于标准的"
73,optical,'ɒptikl,"a. 眼睛的, 视觉的, 光学的
[机] 光学上的, 光学的"
74,solid,'sɒlid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
[计] 原色"
75,range,'reindʒ,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
76,distribution,.distrә'bju:ʃәn,"n. 分配
[计] 分布"
77,wave,weiv,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
78,more,mɒ:,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
[计] DOS外部命令:显示满屏后自动暂停, 并显示:""--More--"", 按任意键继续"
79,all,ɒ:l,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
80,generation,.dʒenә'reiʃәn,"n. 一代, 一世, 产生
[医] 生殖, 世代"
81,due,dju:,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
82,will,wil,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
83,data,'deitә,"pl. 资料, 数据
[计] 数据; DOS内部命令:用于显示或设定系统的日期"
84,mm,,"毫米
[计] 毫米"
85,power,'pauә,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
[计] 乘幂; DOS外部命令:能控制许多电池电源计算机上的电源管理特性"
86,simulation,.simju'leiʃәn,"n. 模拟, 假冒物, 模仿
[计] 模拟"
87,only,'әunli,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
88,see,si:,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
89,surface,'sә:fis,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
90,single,'siŋgl,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
[计] 单精度型"
91,frequency,'fri:kwәnsi,"n. 频率, 频数
[计] 频率"
92,both,bәuθ,"a. 两者的
adv. 两者都
pron. 两者"
93,length,leŋθ,"n. 长度, 长, 期间, 一段
[计] 记录长度; 块长; 字长"
94,low,lәu,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
95,driven,'drivn,"a. 有紧迫感的
drive的过去分词"
96,maximum,'mæksimәn,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
[计] 最大值"
97,its,its,pron. 它的
98,duration,dju'reiʃәn,"n. 持续时间, 持续
[计] 持续时间"
99,foil,fɒil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
100,first,fә:st,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
101,particle,'pɑ:tikl,"n. 颗粒, 粒子, 质点, 极小量
[化] 粒子; 质点"
102,wavelength,'weivleŋθ,"n. 波长
[化] 波长"
103,axis,'æksis,"n. 轴
[计] 坐标轴"
104,size,saiz,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
105,opt,ɒpt,vi. 选择
106,nature,'neitʃә,"n. 自然, 大自然, 本性, 性格, 性质
[医] 自然, 大自然; 本性, 性能"
107,up,ʌp,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
108,spatial,'speiʃәl,"a. 空间的, 受空间条件限制的, 占地位的
[医] 隙的, 间隙的, 腔的; 空间的, 立体的"
109,our,'auә,pron. 我们的
110,however,hau'evә,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
111,through,θru:,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
112,angle,'æŋgl,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
113,intense,in'tens,"a. 非常的, 强烈的, 紧张的, 热情的
[医] 强的"
114,state,steit,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
[计] 状态"
115,each,i:tʃ,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
116,but,bʌt,"prep. 除了
conj. 但是
adv. 仅仅"
117,function,'fʌŋkʃәn,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
[计] 功能, 函数"
118,same,seim,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
119,over,'әuvә,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
120,well,wel,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
121,gas,gæs,"n. 气体, 汽油, 瓦斯
[化] 气体; 煤气; 瓦斯; 毒气"
122,direction,di'rekʃәn,"n. 方向, 指导, 趋势
[计] 方向; 流向"
123,temporal,'tempәrәl,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
124,profile,'prәufail,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
[计] 提问档; 剖面图法; 剖面法"
125,given,'givәn,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
126,temperature,'temprәtʃә,"n. 温度, 发烧, 热度
[化] 温度"
127,system,'sistәm,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
[计] 系统; 体制; 体系"
128,large,lɑ:dʒ,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
129,other,'ʌðә,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
130,use,ju:s,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
131,electric,i'lektik,"a. 电的, 导电的, 电动的
[医] 电的"
132,their,ðєә,pron. 他们的
133,after,'ɑ:ftә,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
134,resolution,.rezә'lu:ʃәn,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
[计] 图形分辨率"
135,scale,skeil,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
[计] 刻度"
136,may,mei,"n. 五月
aux. 愿能, 可以, 愿意"
137,front,frʌnt,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
138,spot,spɒt,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
139,new,nju:,"a. 新的, 陌生的, 最近的, 不熟悉的
[法] 新发现的, 新的, 重新开始的"
140,process,'prɒses,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
[计] 进程"
141,observed,,a. 观测的；观察的
142,regime,rei'ʒi:m,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
[医] 制度, 生活制度"
143,model,'mɒdәl,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
[计] 模型"
144,rate,reit,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
145,effect,i'fekt,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
[计] 效果"
146,thickness,'θiknis,"n. 厚度, 密度, 愚钝, 含混不清
[医] 厚度"
147,under,'ʌndә,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
148,short,ʃɒ:t,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
149,contrast,kәn'træst,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
150,along,ә'lɒŋ,"adv. 平行地, 向前
prep. 沿着"
151,self,self,"n. 自己, 自我, 本性, 本质, 私心, 本人
vt. 使近亲繁殖, 使自花授精
vi. 自花授精
a. 同一的"
152,focal,'fәukl,"a. 焦点的, 在焦点上的
[医] 病灶的, 灶的"
153,while,hwail,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
154,then,ðen,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
155,section,'sekʃәn,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
156,here,hiә,"adv. 在这里, 此时, 这里
n. 这里"
157,near,niә,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
158,accelerated,әk'selәreitid,"a. 加快的
[医] 加速的"
159,about,ә'baut,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
160,respectively,ri'spektivli,"adv. 各自地, 独自地, 个别地, 分别地"
161,absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注
[化] 吸收; 吸收作用"
162,if,if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令"
163,harmonic,hɑ:'mɒnik,"a. 和谐的, 音乐般的, 和声的
n. 泛音, 谐波"
164,thus,ðʌs,"adv. 如此, 因此, 到如此程度
[医] 乳香"
165,magnetic,mæg'netik,"a. 有磁性的, 有吸引力的, 催眠术的
[医] 磁[性]的"
166,shot,ʃɒt,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
167,very,'veri,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
168,cell,sel,"n. 单元, 细胞, 电池
[计] 单元"
169,few,fju:,"a. 很少的, 不多的, 少数的
n. 少数"
170,research,ri'sә:tʃ,"n. 研究, 调查, 考察
vi. 研究, 调查"
171,structure,'strʌktʃә,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
172,science,'saiәns,"n. 科学, 学科, 学问, 自然科学
[医] 科学"
173,above,ә'bʌv,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
174,efficiency,i'fiʃәnsi,"n. 效率, 效能, 功效
[医] 效率, 效力"
175,corresponding,.kɒri'spɒndiŋ,"a. 相当的, 一致的, 通信的
[计] 对应"
176,experiment,ik'sperimәnt,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
177,main,mein,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
[计] 主群组"
178,scattering,'skætәriŋ,"n. 分散, 散射, 稀疏的少量
a. 四散开的, 分散的
[计] 散射, 扩散, 杂散"
179,mirror,'mirә,"n. 镜子, 写真, 典范
vt. 反映, 映出"
180,out,aut,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
181,like,laik,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
182,long,lɒŋ,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
[计] 长, 长整型"
183,so,sәu,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
184,cross,krɒs,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
[计] 交叉, 十字标"
185,layer,'leiә,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
[计] 层"
186,critical,'kritikәl,"a. 批评的, 决定性的, 危险的, 临界的
[医] 危象的; 临界的, 极期的"
187,second,'sekәnd,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
188,measurement,'meʒәdmәnt,"n. 尺寸, 度量, 度量单位
[计] 度量, 度量单位"
189,region,'ri:dʒәn,"n. 区域, 地带, 地区, 领域, 范围, 区
[计] 区, 区域"
190,lower,'lәuә,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
191,three,θri:,"num. 三, 三个"
192,amplitude,'æmplitju:d,"n. 广阔, 充足, 幅度
[化] 振幅"
193,initial,i'niʃәl,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
194,small,smɒ:l,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
195,therefore,'ðєәfɒ:,"adv. 因此, 所以"
196,plane,plein,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
197,velocity,vi'lɒsәti,"n. 速度, 迅速
[化] 速度"
198,fusion,'fju:ʒәn,"n. 熔合物, 结合, 熔合
[化] 熔融; 熔化; 聚变"
199,vacuum,''vækjuәm,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
200,strong,strɒŋ,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
201,nuclear,'nju:kliә,"a. 核子的, 原子能的, 核的, 中心的
[医] 核的"
202,matter,'mætә,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
203,total,'tәutl,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
204,free,fri:,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
205,show,ʃәu,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
[计] 显示"
206,hot,hɒt,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
207,focus,'fәukәs,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
[计] 焦点"
208,quantum,'kwɒntәm,"n. 量, 量子
[计] 量子"
209,within,wi'ðin,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
210,value,'vælju:,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
[计] 计算结果"
211,most,mәust,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
212,could,kud,"aux. 可以, 能"
213,fast,fɑ:st,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
214,angular,'æŋgjulә,"a. 有角的, 消瘦的, 有尖角的, 生硬的
[医] 角的, 角形的"
215,because,bi'kɒ:z,conj. 因为
216,since,sins,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
217,nonlinear,nɒn'liniә,"a. 非线性的
[电] 非线性的"
218,control,kәn'trәul,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
[计] 控制; 控制器"
219,work,wә:k,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
220,incident,'insidәnt,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
221,propagation,.prɒpә'geiʃәn,"n. 增殖, 繁殖, 宣传
[医] 传播, 繁殖, 持续培养"
222,they,ðei,"pron. 他们, 它们"
223,would,wud,"aux. 将, 愿意"
224,current,'kʌrәnt,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
[计] 当前的"
225,cycle,'saikl,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
[计] 环路; 周期; 循环"
226,average,'ævәridʒ,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
227,imaging,i'mædʒiŋ,"[计] 成象
[化] 成像"
228,optics,'ɒptiks,"n. 光学
[化] 光学"
229,laboratory,'læbrәtәri,"n. 实验室, 研究室, 化工厂
[医] 实验室, 检验室, 化验室"
230,space,speis,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
[计] 空白, 空格校验"
231,during,'djuәriŋ,prep. 在...的时候
232,factor,'fæktә,"n. 因素, 因数, 系数, 基因, 代理人
[计] 因式"
233,increase,in'kri:s,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
234,spectrometer,spek'trɒmitә,"n. 分光计, 谱仪
[化] 分光计; 分光仪"
235,image,'imidʒ,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
[计] 图象"
236,part,pɑ:t,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
237,polarization,",pәjlәrai'zeiʃәn; -ri'z-","n. 极化, 极化强度, 偏振, 两极分化
[计] 定位; 对位"
238,result,ri'zʌlt,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
[计] 结果"
239,red,red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
[计] 简化, 减少"
240,similar,'similә,"a. 相似的, 类似的
n. 相似的东西"
241,position,pә'ziʃәn,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
[计] 位置"
242,article,'ɑ:tikl,"n. 文章, 冠词, 物品, 物件, 条款, 契约
[计] 信件"
243,thin,θin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
244,production,prә'dʌkʃәn,"n. 制造, 生产, 产物
[医] 产生, 生成"
245,should,ʃud,"aux. 应该, 将要"
246,physical,'fizikl,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
247,review,ri'vju:,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
248,atomic,ә'tɒmik,"a. 原子的, 原子能的
[医] 原子的"
249,focused,'fәukәst,a. 聚焦的；专心的
250,there,ðєә,adv. 在那里
251,bunch,bʌntʃ,"n. 串, 束
[医] 骨肿块(马)"
252,calculated,'kælkjuleitid,"a. 有计划的, 适当的, 适合的, 计算出的
[机] 算清了的"
253,example,ig'zæmpl,"n. 例子, 样本, 实例
[化] 实例"
254,university,.ju:ni'vә:siti,n. 大学
255,per,pә:,"prep. 每一, 通过, 经, 按照
[经] 每, 按照"
256,level,'levl,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
[计] 级别"
257,via,vaiә,"prep. 经由, 经过, 通过
[医] 病毒灭活剂"
